title,domain,content_type,contains,intended_use,url
ספר קורס - שאלות שיעורי הוידאו חלק א,כללי (רב-תחומי),ספר קורס,שאלות | חומר לימוד,בנק שאלות + חומר לימוד,https://courses.campus.gov.il/assets/courseware/v1/535a1e84900729b95df7393e4dca849e/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/%D7%A1%D7%A4%D7%A8_%D7%A7%D7%95%D7%A8%D7%A1_%D7%97%D7%9C%D7%A7_%D7%90.pdf
ספר קורס - שאלות שיעורי הוידאו חלק ב,כללי (רב-תחומי),ספר קורס,שאלות | חומר לימוד,בנק שאלות + חומר לימוד,https://courses.campus.gov.il/assets/courseware/v1/1491108e8177772f97ec5dba6ead10da/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/%D7%A1%D7%A4%D7%A8_%D7%A7%D7%95%D7%A8%D7%A1_%D7%97%D7%9C%D7%A7_%D7%91.pdf
ספר קורס - שאלות שיעורי הוידאו חלק ג,כללי (רב-תחומי),ספר קורס,שאלות | חומר לימוד,בנק שאלות + חומר לימוד,https://courses.campus.gov.il/assets/courseware/v1/6187f9c444647b2859adf5add1c7f8d1/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/%D7%A1%D7%A4%D7%A8_%D7%A7%D7%95%D7%A8%D7%A1_%D7%97%D7%9C%D7%A7_%D7%92.pdf
חשיבה מילולית - חלק א,חשיבה מילולית / עברית,ספר קורס,שאלות | חומר לימוד,בנק שאלות + חומר לימוד (מילולי),https://courses.campus.gov.il/assets/courseware/v1/cf38bcfc8fc148f62110b06f40b54321/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/02_%D7%A1%D7%A4%D7%A8_%D7%9E%D7%9B%D7%A8%D7%96_%D7%97%D7%A9%D7%99%D7%91%D7%94_%D7%9E%D7%99%D7%9C%D7%95%D7%9C%D7%99%D7%AA_%D7%97%D7%9C%D7%A7_1.pdf
חשיבה מילולית - חלק ב,חשיבה מילולית / עברית,ספר קורס,שאלות | חומר לימוד,בנק שאלות + חומר לימוד (מילולי),https://courses.campus.gov.il/assets/courseware/v1/7cadf2929f0fa55877931a9aba8e294d/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/02_%D7%A1%D7%A4%D7%A8_%D7%9E%D7%9B%D7%A8%D7%96_%D7%97%D7%A9%D7%99%D7%91%D7%94_%D7%9E%D7%99%D7%9C%D7%95%D7%9C%D7%99%D7%AA_%D7%97%D7%9C%D7%A7_2.pdf
חשיבה מילולית - חלק ג,חשיבה מילולית / עברית,ספר קורס,שאלות | חומר לימוד,בנק שאלות + חומר לימוד (מילולי),https://courses.campus.gov.il/assets/courseware/v1/2027011db3f441998f8a9eeab37ecc29/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/02_%D7%A1%D7%A4%D7%A8_%D7%9E%D7%9B%D7%A8%D7%96_%D7%97%D7%A9%D7%99%D7%91%D7%94_%D7%9E%D7%99%D7%9C%D7%95%D7%9C%D7%99%D7%AA_%D7%97%D7%9C%D7%A7_3.pdf
חשיבה מילולית - חלק ד,חשיבה מילולית / עברית,ספר קורס,שאלות | חומר לימוד,בנק שאלות + חומר לימוד (מילולי),https://courses.campus.gov.il/assets/courseware/v1/b898c836f99add8b0d87f9d5f2fdbd4f/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/02_%D7%A1%D7%A4%D7%A8_%D7%9E%D7%9B%D7%A8%D7%96_%D7%97%D7%A9%D7%99%D7%91%D7%94_%D7%9E%D7%99%D7%9C%D7%95%D7%9C%D7%99%D7%AA_%D7%97%D7%9C%D7%A7_4.pdf
יסודות אנגלית,אנגלית,ספר קורס,שאלות | חומר לימוד,בנק שאלות + חומר לימוד (אנגלית),https://courses.campus.gov.il/assets/courseware/v1/8656116ac97b91529cd7333ceb2eb0e5/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/03_%D7%A1%D7%A4%D7%A8_%D7%9E%D7%9B%D7%A8%D7%96_%D7%99%D7%A1%D7%95%D7%93%D7%95%D7%AA_%D7%90%D7%A0%D7%92%D7%9C%D7%99%D7%AA.pdf
אנגלית,אנגלית,ספר קורס,שאלות | חומר לימוד,בנק שאלות + חומר לימוד (אנגלית),https://courses.campus.gov.il/assets/courseware/v1/9df364a6498a6642055258b157b6e042/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/04_%D7%A1%D7%A4%D7%A8_%D7%9E%D7%9B%D7%A8%D7%96_%D7%90%D7%92%D7%9C%D7%99%D7%AA.pdf
אלגברה,חשיבה כמותית,ספר קורס,שאלות | חומר לימוד | נוסחאות/כללים,בנק שאלות + חומר לימוד + דף נוסחאות (כמותי),https://courses.campus.gov.il/assets/courseware/v1/33a1c47ddc0bf9392bcea9be82b88b8f/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/05_%D7%A1%D7%A4%D7%A8_%D7%9E%D7%9B%D7%A8%D7%96_%D7%90%D7%9C%D7%92%D7%91%D7%A8%D7%94.pdf
בעיות,חשיבה כמותית,ספר קורס,שאלות | חומר לימוד | נוסחאות/כללים,בנק שאלות + חומר לימוד + דף נוסחאות (כמותי),https://courses.campus.gov.il/assets/courseware/v1/083f9667c3945a7cf1029430cbd09213/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/06_%D7%A1%D7%A4%D7%A8_%D7%9E%D7%9B%D7%A8%D7%96_%D7%91%D7%A2%D7%99%D7%95%D7%AA.pdf
גיאומטריה - חלק א,חשיבה כמותית,ספר קורס,שאלות | חומר לימוד | נוסחאות/כללים,בנק שאלות + חומר לימוד + דף נוסחאות (כמותי),https://courses.campus.gov.il/assets/courseware/v1/8b40ae97937231e888539c8cf070a7f8/asset-v1:MSE+GOV_PsychometryHe+2018_1+type@asset+block/07_%D7%A1%D7%A4%D7%A8_%D7%9E%D7%9B%D7%A8%D7%96_%D7%92%D7%99%D7%90%D7%95%D7%9E%D7%98%D7%A8%D7%99%D7%94_%D7%97%D7%9C%D7%A7_%D7%90.pdf
